GHz,dB
0,-0.407666907,
0.02,-0.550944526,
0.04,-0.751760477,
0.06,-0.870868673,
0.08,-0.923936379,
0.1,-1.00722421,
0.12,-1.16232087,
0.14,-1.32246257,
0.16,-1.4068203,
0.18,-1.41939124,
0.2,-1.44428003,
0.22,-1.54206713,
0.24,-1.66913142,
0.26,-1.7468458,
0.28,-1.76491978,
0.3,-1.79295569,
0.32,-1.88753516,
0.34,-2.01256494,
0.36,-2.08989137,
0.38,-2.09796099,
0.4,-2.09563857,
0.42,-2.1510955,
0.44,-2.25294324,
0.46,-2.33051879,
0.48,-2.35076166,
0.5,-2.35896303,
0.52,-2.41670546,
0.54,-2.51802068,
0.56,-2.59754214,
0.58,-2.61724361,
0.6,-2.6126659,
0.62,-2.65006028,
0.64,-2.74008955,
0.66,-2.82444508,
0.68,-2.85407347,
0.7,-2.84912929,
0.72,-2.87013484,
0.74,-2.93869625,
0.76,-3.01222641,
0.78,-3.04472269,
0.8,-3.05089107,
0.82,-3.08737414,
0.84,-3.17769292,
0.86,-3.27579675,
0.88,-3.32265681,
0.9,-3.31591042,
0.92,-3.30535692,
0.94,-3.3341251,
0.96,-3.38861157,
0.98,-3.42770436,
1,-3.4477049,
1.02,-3.49121768,
1.04,-3.58769607,
1.06,-3.70266798,
1.08,-3.7734609,
1.1,-3.77748579,
1.12,-3.74935265,
1.14,-3.73972918,
1.16,-3.76447948,
1.18,-3.79777014,
1.2,-3.82498128,
1.22,-3.87260164,
1.24,-3.9702802,
1.26,-4.09630857,
1.28,-4.19049677,
1.3,-4.21501561,
1.32,-4.18543267,
1.34,-4.14978492,
1.36,-4.14320497,
1.38,-4.16029607,
1.4,-4.18402679,
1.42,-4.22546472,
1.44,-4.31122114,
1.46,-4.43422557,
1.48,-4.54271527,
1.5,-4.58929254,
1.52,-4.57192539,
1.54,-4.52763492,
1.56,-4.49959458,
1.58,-4.50046846,
1.6,-4.51594005,
1.62,-4.54374086,
1.64,-4.60521883,
1.66,-4.70691443,
1.68,-4.81344343,
1.7,-4.87564841,
1.72,-4.87640972,
1.74,-4.84039417,
1.76,-4.8095138,
1.78,-4.80679484,
1.8,-4.82130783,
1.82,-4.83978864,
1.84,-4.87412562,
1.86,-4.94090984,
1.88,-5.02662818,
1.9,-5.09163274,
1.92,-5.10960243,
1.94,-5.09272648,
1.96,-5.07853052,
1.98,-5.09178921,
2,-5.12196943,
2.02,-5.14628253,
2.04,-5.16373675,
2.06,-5.19400974,
2.08,-5.24501833,
2.1,-5.29664853,
2.12,-5.32434193,
2.14,-5.33011559,
2.16,-5.34312136,
2.18,-5.38564603,
2.2,-5.44543361,
2.22,-5.49107877,
2.24,-5.50907549,
2.26,-5.51382659,
2.28,-5.52694697,
2.3,-5.55176438,
2.32,-5.57566275,
2.34,-5.59615296,
2.36,-5.63162757,
2.38,-5.69966637,
2.4,-5.7878382,
2.42,-5.8593335,
2.44,-5.8907659,
2.46,-5.88665933,
2.48,-5.8709358,
2.5,-5.86445029,
2.52,-5.871278,
2.54,-5.88922634,
2.56,-5.92918597,
2.58,-6.00341771,
2.6,-6.10263351,
2.62,-6.19164807,
2.64,-6.2396164,
2.66,-6.24050681,
2.68,-6.2124018,
2.7,-6.18279312,
2.72,-6.1688235,
2.74,-6.17359546,
2.76,-6.20068866,
2.78,-6.25923604,
2.8,-6.34608967,
2.82,-6.43473281,
2.84,-6.49250022,
2.86,-6.50461293,
2.88,-6.48168445,
2.9,-6.44968558,
2.92,-6.43054308,
2.94,-6.42872217,
2.96,-6.44238814,
2.98,-6.47600802,
3,-6.53700037,
3.02,-6.63750297,
3.04,-6.68106672,
3.06,-6.68350465,
3.08,-6.68069281,
3.1,-6.68444246,
3.12,-6.66514958,
3.14,-6.67675657,
3.16,-6.69401048,
3.18,-6.71073389,
3.2,-6.7337092,
3.22,-6.76847862,
3.24,-6.8155624,
3.26,-6.9201301,
3.28,-6.93304737,
3.3,-6.92147773,
3.32,-7.03475092,
3.34,-7.12482923,
3.36,-7.04960267,
3.38,-7.05801551,
3.4,-7.05762478,
3.42,-7.05331944,
3.44,-7.05821121,
3.46,-7.07781009,
3.48,-7.11891217,
3.5,-7.19076988,
3.52,-7.29374296,
3.54,-7.40610081,
3.56,-7.49395585,
3.58,-7.53584132,
3.6,-7.5290189,
3.62,-7.49519276,
3.64,-7.46805992,
3.66,-7.46703443,
3.68,-7.50466603,
3.7,-7.59228041,
3.72,-7.7229521,
3.74,-7.86893309,
3.76,-7.99121488,
3.78,-8.06190343,
3.8,-8.07091812,
3.82,-8.0283467,
3.84,-7.96357843,
3.86,-7.914831,
3.88,-7.91331886,
3.9,-7.97357863,
3.92,-8.09073718,
3.94,-8.23748086,
3.96,-8.37420979,
3.98,-8.46603368,
4,-8.49416458,
4.02,-8.45705986,
4.04,-8.37511956,
4.06,-8.28898009,
4.08,-8.23927534,
4.1,-8.25049583,
4.12,-8.32537129,
4.14,-8.44465057,
4.16,-8.57304586,
4.18,-8.6736077,
4.2,-8.71899535,
4.22,-8.69721821,
4.24,-8.61837587,
4.26,-8.51590179,
4.28,-8.43317666,
4.3,-8.40021405,
4.32,-8.42606977,
4.34,-8.50040273,
4.36,-8.59895289,
4.38,-8.68941939,
4.4,-8.74130094,
4.42,-8.73631263,
4.44,-8.67620131,
4.46,-8.5863394,
4.48,-8.50433356,
4.5,-8.45821045,
4.52,-8.45568063,
4.54,-8.49046942,
4.56,-8.54930652,
4.58,-8.61275608,
4.6,-8.65853069,
4.62,-8.66842185,
4.64,-8.64019167,
4.66,-8.59147633,
4.68,-8.5502353,
4.7,-8.53351468,
4.72,-8.54071006,
4.74,-8.5616316,
4.76,-8.58960783,
4.78,-8.6216582,
4.8,-8.65170857,
4.82,-8.67242901,
4.84,-8.68139202,
4.86,-8.68941976,
4.88,-8.71022849,
4.9,-8.74795702,
4.92,-8.78967328,
4.94,-8.82031295,
4.96,-8.83303017,
4.98,-8.83687294,
5,-8.84288141,
5.02,-8.85924426,
5.04,-8.88795516,
5.06,-8.93350613,
5.08,-8.99861377,
5.1,-9.07655313,
5.12,-9.14822238,
5.14,-9.19290989,
5.16,-9.20092245,
5.18,-9.18215453,
5.2,-9.1586863,
5.22,-9.15071112,
5.24,-9.16791653,
5.26,-9.21270519,
5.28,-9.28298166,
5.3,-9.36837826,
5.32,-9.4489493,
5.34,-9.50066042,
5.36,-9.50948079,
5.38,-9.4804553,
5.4,-9.43606913,
5.42,-9.40215738,
5.44,-9.39421306,
5.46,-9.41473015,
5.48,-9.46133075,
5.5,-9.52585206,
5.52,-9.59295094,
5.54,-9.64157303,
5.56,-9.65476312,
5.58,-9.63261634,
5.6,-9.59321299,
5.62,-9.55946728,
5.64,-9.54537932,
5.66,-9.55215865,
5.68,-9.57566904,
5.7,-9.61289158,
5.72,-9.66057124,
5.74,-9.71223351,
5.76,-9.75645509,
5.78,-9.76821546,
5.8,-9.7524494,
5.82,-9.74684645,
5.84,-9.76019556,
5.86,-9.78347148,
5.88,-9.80573701,
5.9,-9.82698252,
5.92,-9.84935894,
5.94,-9.8755824,
5.96,-9.91466087,
5.98,-9.96922883,
6,-10.0401337,
6.02,-10.1255422,
6.04,-10.2134897,
6.06,-10.2861403,
6.08,-10.3313935,
6.1,-10.3496745,
6.12,-10.3571124,
6.14,-10.3774566,
6.16,-10.4304003,
6.18,-10.5255903,
6.2,-10.6641296,
6.22,-10.8426656,
6.24,-11.0515683,
6.26,-11.1150427,
6.28,-11.057149,
6.3,-11.072985,
6.32,-11.1169177,
6.34,-11.1651549,
6.36,-11.1166053,
6.38,-11.0928982,
6.4,-11.1774124,
6.42,-11.3073462,
6.44,-11.4496293,
6.46,-11.5748345,
